Samples,Vaginal,Cesarean
4306262,0.03436386662939017,0.08170416594551044
4343580,0.7419813313351845,1.0
4411138,0.7419813313351845,1.0
4465907,0.0123074911041966,0.02904940554533142
4454531,0.03436386662939017,0.16335925805883267
3044876,0.7419813313351845,0.43349049344709467
730906,0.5737713430018552,0.16335925805883267
1100972,0.0123074911041966,0.16335925805883267
174840,1.0,0.43349049344709467
3195854,1.0,0.6466406649785786
4476527,0.4413706265478008,0.43349049344709467
184990,1.0,0.6466406649785786
1062356,0.11345910717791008,0.16335925805883267
4476780,0.4413706265478008,0.16335925805883267
187178,0.5737713430018552,0.2780719051126377
236142,0.7419813313351845,1.0
3903651,0.0123074911041966,0.003208368018363439
518002,0.5737713430018552,0.43349049344709467
4425368,0.5737713430018552,0.2780719051126377
558281,0.7419813313351845,0.6466406649785786
194089,0.7419813313351845,1.0
1061772,0.7419813313351845,1.0
335577,1.0,0.43349049344709467
248902,1.0,0.43349049344709467
365536,1.0,0.6466406649785786
180629,0.7419813313351845,1.0
4328241,0.7419813313351845,1.0
4409730,0.5737713430018552,0.08170416594551044
196307,1.0,0.2780719051126377
537085,0.3334216420050795,1.0
760967,1.0,0.6466406649785786
3931537,0.7419813313351845,0.16335925805883267
4479443,0.5737713430018552,0.6466406649785786
4430843,0.7419813313351845,0.43349049344709467
4349517,0.7419813313351845,1.0
2654263,0.4413706265478008,0.43349049344709467
178151,0.7419813313351845,0.6466406649785786
4346675,0.0013640358414281906,0.003208368018363439
4295873,0.7419813313351845,0.6466406649785786
54563,0.3334216420050795,0.2780719051126377
182054,0.7419813313351845,0.6466406649785786
4449054,0.0123074911041966,0.02904940554533142
194670,1.0,0.2780719051126377
179620,1.0,0.6466406649785786
539647,0.5737713430018552,1.0
183824,0.4413706265478008,0.16335925805883267
4443172,0.11345910717791008,0.16335925805883267
193968,0.4413706265478008,0.6466406649785786
4469576,0.2446245874385713,0.02904940554533142
176346,1.0,0.6466406649785786
4480244,0.5737713430018552,0.02904940554533142
529740,0.7419813313351845,1.0
1047077,1.0,0.6466406649785786
300662,0.7419813313351845,0.6466406649785786
4439469,0.5737713430018552,0.2780719051126377
288690,0.7419813313351845,1.0
4361189,0.3334216420050795,0.6466406649785786
1765402,0.3334216420050795,1.0
4454025,0.5737713430018552,0.6466406649785786
4427459,1.0,0.43349049344709467
276044,0.7419813313351845,0.2780719051126377
331253,0.5737713430018552,1.0
191442,0.5737713430018552,0.6466406649785786
4375646,1.0,0.6466406649785786
187882,1.0,0.6466406649785786
187883,0.7419813313351845,0.2780719051126377
134265,0.7419813313351845,0.6466406649785786
105287,0.7419813313351845,0.6466406649785786
4481613,0.03436386662939017,0.003208368018363439
4426438,0.171944274620496,0.02904940554533142
4435400,1.0,0.6466406649785786
1135084,0.5737713430018552,0.6466406649785786
134786,0.4413706265478008,0.2780719051126377
317677,1.0,0.6466406649785786
4380191,0.7419813313351845,0.6466406649785786
328472,0.7419813313351845,0.2780719051126377
4411295,0.2446245874385713,0.16335925805883267
345951,0.0123074911041966,0.16335925805883267
4447950,0.11345910717791008,0.003208368018363439
187385,0.5737713430018552,0.43349049344709467
4411460,0.7419813313351845,0.6466406649785786
4471854,0.2446245874385713,0.003208368018363439
4474255,0.5737713430018552,0.2780719051126377
332718,0.7419813313351845,1.0
177581,0.7419813313351845,0.43349049344709467
188707,0.5737713430018552,0.6466406649785786
4424063,0.11345910717791008,0.02904940554533142
178474,0.7419813313351845,0.6466406649785786
4477696,0.0123074911041966,0.003208368018363439
185021,0.7419813313351845,0.6466406649785786
767863,0.3334216420050795,1.0
181422,0.4413706265478008,0.2780719051126377
185734,1.0,0.6466406649785786
4359797,0.5737713430018552,0.6466406649785786
186389,0.7419813313351845,1.0
187894,1.0,0.6466406649785786
1096610,0.171944274620496,0.2780719051126377
4451152,1.0,0.43349049344709467
4365141,0.7419813313351845,0.6466406649785786
2407149,0.06788843238332531,0.02904940554533142
186255,0.7419813313351845,1.0
203713,0.0123074911041966,0.02904940554533142
274115,0.7419813313351845,1.0
851733,0.03436386662939017,0.02904940554533142
4398028,1.0,0.6466406649785786
15728,0.5737713430018552,0.2780719051126377
320376,0.7419813313351845,1.0
174589,0.4413706265478008,0.6466406649785786
182117,1.0,0.6466406649785786
4254528,0.7419813313351845,0.6466406649785786
175148,1.0,0.6466406649785786
132041,0.7419813313351845,0.6466406649785786
3128077,0.11345910717791008,0.003208368018363439
4453060,0.7419813313351845,0.6466406649785786
4435690,0.5737713430018552,0.6466406649785786
190913,0.5737713430018552,0.2780719051126377
145801,0.03436386662939017,0.02904940554533142
174818,0.7419813313351845,0.2780719051126377
191913,0.7419813313351845,1.0
4375664,1.0,0.6466406649785786
193534,1.0,0.43349049344709467
166848,1.0,0.6466406649785786
2281172,0.5737713430018552,0.43349049344709467
4423553,1.0,0.6466406649785786
4352657,0.4413706265478008,0.16335925805883267
2829179,0.7419813313351845,0.43349049344709467
190595,0.7419813313351845,1.0
4408129,0.5737713430018552,0.6466406649785786
4363269,0.7419813313351845,1.0
4415390,1.0,0.6466406649785786
1848900,1.0,0.6466406649785786
172233,1.0,0.6466406649785786
342487,0.7419813313351845,1.0
1141678,0.2446245874385713,0.16335925805883267
2317377,0.4413706265478008,0.2780719051126377
4350788,0.7419813313351845,0.6466406649785786
3943186,0.5737713430018552,0.43349049344709467
187504,0.7419813313351845,0.6466406649785786
4385479,0.7419813313351845,0.43349049344709467
174489,1.0,0.6466406649785786
182886,0.2446245874385713,0.08170416594551044
4212517,0.7419813313351845,1.0
2532173,0.3334216420050795,0.16335925805883267
1100471,0.7419813313351845,1.0
4479397,0.11345910717791008,0.003208368018363439
4278525,0.5737713430018552,0.43349049344709467
175560,1.0,0.43349049344709467
189708,0.4413706265478008,0.2780719051126377
1082607,0.171944274620496,0.2780719051126377
